Elwira;Elwiro;K
Elżbieta;Elżbieto;K
Emanuel;Emanuelu;M
Emanuela;Emanuelo;K
Emerencja;Emerencjo;K
Emeryk;Emeryku;M
Emil;Emilu;M
Emilia;Emilio;K
Emilian;Emilianie;M
Emiliana;Emilianno;K
Emiliusz;Emiliuszu;M
Emma;Emmo;K
Enema;Enemo;K
Engelbert;Engelbercie;M
Enoch;Enochu;M
Epifan;Epifanie;M
Epifani;Epifanie;M
Epifania;Epifianno;K
Epifaniusz;Epifaniuszu;M
Erast;Eraście;M
Erazm;Eraźmie;M
Erazma;Erazmo;K
Erhard;Erhardzie;M
Ernest;Erneście;M
Ernesta;Ernesto;K
Ernestyn;Erestynie;M
Ernestyna;Erestyno;K
Erwin;Erwinie;M
Erwina;Erwino;K
Eryk;Eryku;M
Eryka;Eryko;K
Estera;Estero;K
Euchariusz;Euchariuszu;M
Eudokia;Eudokio;K
Eudoksja;Eudoksjo;K
Eudoksjusz;Eudoksjuszu;M
Eufemia;Eufemino;K
Eufrozyna;Eufrozyno;K
Eugenia;Eugenio;K
Eugeniusz;Eugeniuszu;M
Eulalia;Eulalio;K
Eulogiusz;Eulogiuszu;M
Eustachiusz;Eustachiuszu;M
Eustachy;Eustachy;M
Eutropiusz;Eutropiuszu;M
Euzebia;Euzebio;K
Euzebiusz;Euzebieuszu;M
Ewa;Ewo;K
Ewald;Ewaldzie;M
Ewaryst;Ewaryście;M
Ewdokia;Ewdokio;K
Ewelin;Ewelinie;M
Ewelina;Ewelino;K
Eweryst;Eweryście;M
Ezechiel;Ezechielu;M
Fabia;Fabio;K
Fabian;Fabianie;M
Fabiola;Fabiolo;K
Fabrycjan;Fabrycjanie;M
Fabrycy;Fabrycy;M
Faust;Fauście;M
Fausta;Faustyno;K
Faustyn;Faustynie;M
Faustyna;Faustyno;K
Felicja;Falicjo;K
Felicjan;Falicjanie;M
Felicjana;Falicjanno;K
Felicysym;Falicyśmie;M
Felicyta;Felicyto;K
Feliks;Feliksie;M
Ferdynand;Ferdynandzie;M
Festus;Festusie;M
Fidelis;Fidelisie;M
Fides;Fidesie;M
Filemon;Filemonie;M
Filip;Filipie;M
Filipina;Filipino;K
Filomena;Filomeno;K
Flawia;Flawio;K
Flawian;Flawianie;M
Flawiusz;Flawiuszu;M
Flora;Floro;K
Florencjusz;Florencjuszu;M
Florenty;Florenty;M
Florentyn;Florentynie;M
Florentyna;Florentyno;K
Florian;Florianie;M
Floryn;Florynie;M
Fortunat;Forunacie;M
Fortunata;Fortunato;K
Franciszek Salezy;Franciszu Salezy;M
Franciszek;Franciszku;M
Franciszka;Franciszko;K
Frumencjusz;Frumencjuszu;M
Fryda;Frydo;K
Fryderyk;Fryderyku;M
Fryderyka;Fryderyko;K
Frydolin;Frydolinie;M
Gabin;Gabinie;M
Gabor;Gaborze;M
Gabriel;Gabrielu;M
Gabriela;Gabrielo;K
Gajusz;Gajuszu;M
Galezy;Galezy;M
Gall;Gallu;M
Galla;Galo;K
Gallina;Gallino;K
Ganda;Gando;K
Gardenia;Gardenio;K
Gaspar;Gasparze;M
Gaudencja;Gaudencjo;K
Gaudencjusz;Gaudencjuszu;M
Gaudenty;Gaudenty;M
Gaweł;Gawle;M
Gawryła;Gawryło;K
Gebhard;Gebhardzie;M
Gedeon;Gedeonie;M
Genowefa;Genowefo;K
Georgia;Georgio;K
Georgina;Georginio;K
Gerald;Geraldzie;M
Geraldyna;Geraldyno;K
Gerard;Gererdzie;M
Gerarda;Geredo;K
Gerhard;Gerhardzie;M
German;Germanie;M
Germanik;Germaniku;M
Gertruda;Gertrudo;K
Gerwazy;Gerwazy;M
Gilbert;Gilbercie;M
Gilda;Gildo;K
Gizela;Gizelo;K
Glikeria;Glikerio;K
Gloria;Glorio;K
Gniewomir;Gniewomirze;M
Gniewosz;Gniewoszu;M
Goar;Goarze;M
